fold,category,value
0,precision,0.852459016
1,precision,0.866666667
2,precision,0.858333333
3,precision,0.844262295
4,precision,0.803278689
5,precision,0.876033058
6,precision,0.803278689
7,precision,0.841666667
8,precision,0.884297521
9,precision,0.867768595
0,recall,0.99047619
1,recall,0.99047619
2,recall,0.980952381
3,recall,1
4,recall,1
5,recall,0.990654206
6,recall,1
7,recall,0.990196078
8,recall,0.990740741
9,recall,1
0,f1,0.916299559
1,f1,0.924444444
2,f1,0.915555556
3,f1,0.915555556
4,f1,0.890909091
5,f1,0.929824561
6,f1,0.890909091
7,f1,0.90990991
8,f1,0.934497817
9,f1,0.92920354
