country,date,month,year,value1,value2,,initial_value,growth_rate
Afghanistan,01/01/2021,1,2021,0.001384893,0.001384893,0,0.001384893,0
Afghanistan,01/02/2021,2,2021,0.001424873,0.001424873,0.028868527,0.001384893,0.028868527
Afghanistan,01/03/2021,3,2021,0.001439426,0.001439426,0.010213524,0.001384893,0.039376901
Afghanistan,01/04/2021,4,2021,0.001484146,0.001484146,0.03106806,0.001384893,0.071668325
Afghanistan,01/05/2021,5,2021,0.001650634,0.001650634,0.112177947,0.001384893,0.191885878
Afghanistan,01/06/2021,6,2021,0.002439283,0.002439283,0.477785202,0.001384893,0.761351313
Afghanistan,01/07/2021,7,2021,0.003514603,0.003514603,0.440834706,0.001384893,1.537816102
Afghanistan,01/08/2021,8,2021,0.003891368,0.003891368,0.107199645,0.001384893,1.809869087
Afghanistan,01/09/2021,9,2021,0.003962845,0.003962845,0.018368104,0.001384893,1.861481055
Afghanistan,01/10/2021,10,2021,0.004000103,0.004000103,0.009401807,0.001384893,1.888384146
Afghanistan,01/11/2021,11,2021,0.004025529,0.004025529,0.006356464,0.001384893,1.906744057
Afghanistan,01/12/2021,12,2021,0.004051443,0.004051443,0.006437492,0.001384893,1.925456198
Albania,01/01/2021,1,2021,0.023406803,0.023406803,4.777398508,0.023406803,0
Albania,01/02/2021,2,2021,0.032400432,0.032400432,0.384231448,0.023406803,0.384231448
Albania,01/03/2021,3,2021,0.040938475,0.040938475,0.263516302,0.023406803,0.748999001
Albania,01/04/2021,4,2021,0.044775639,0.044775639,0.093730026,0.023406803,0.912932723
Albania,01/05/2021,5,2021,0.045836492,0.045836492,0.023692653,0.023406803,0.958255175
Albania,01/06/2021,6,2021,0.046025274,0.046025274,0.004118584,0.023406803,0.966320413
Albania,01/07/2021,7,2021,0.04611455,0.04611455,0.001939715,0.023406803,0.970134515
Albania,01/08/2021,8,2021,0.047783735,0.047783735,0.036196494,0.023406803,1.041446477
Albania,01/09/2021,9,2021,0.05542317,0.05542317,0.15987523,0.023406803,1.367823202
Albania,01/10/2021,10,2021,0.061780964,0.061780964,0.114713637,0.023406803,1.639444813
Albania,01/11/2021,11,2021,0.067198242,0.067198242,0.087685226,0.023406803,1.870885127
Albania,01/12/2021,12,2021,0.071199359,0.071199359,0.059541998,0.023406803,2.041823363
Algeria,01/01/2021,1,2021,0.002363035,0.002363035,-0.966811008,0.002363035,0
Algeria,01/02/2021,2,2021,0.002522105,0.002522105,0.067315923,0.002363035,0.067315923
Algeria,01/03/2021,3,2021,0.002632003,0.002632003,0.043573868,0.002363035,0.113823006
Algeria,01/04/2021,4,2021,0.002722351,0.002722351,0.03432684,0.002363035,0.152057031
Algeria,01/05/2021,5,2021,0.00286189,0.00286189,0.051256857,0.002363035,0.211107853
Algeria,01/06/2021,6,2021,0.003063849,0.003063849,0.070568259,0.002363035,0.296573625
Algeria,01/07/2021,7,2021,0.00348284,0.00348284,0.136753174,0.002363035,0.473884184
Algeria,01/08/2021,8,2021,0.004258477,0.004258477,0.222702619,0.002363035,0.802122052
Algeria,01/09/2021,9,2021,0.004573238,0.004573238,0.073913928,0.002363035,0.935323973
Algeria,01/10/2021,10,2021,0.004677293,0.004677293,0.022752896,0.002363035,0.979358198
Algeria,01/11/2021,11,2021,0.004750558,0.004750558,0.0156641,0.002363035,1.010363062
Algeria,01/12/2021,12,2021,0.004881918,0.004881918,0.027651426,0.002363035,1.065952467
Andorra,01/01/2021,1,2021,0.116576591,0.116576591,22.8792607,0.116576591,0
Andorra,01/02/2021,2,2021,0.135624151,0.135624151,0.163390945,0.116576591,0.163390945
Andorra,01/03/2021,3,2021,0.14711623,0.14711623,0.084734754,0.116576591,0.26197059
Andorra,01/04/2021,4,2021,0.164211049,0.164211049,0.116199409,0.116576591,0.408610827
Andorra,01/05/2021,5,2021,0.174829399,0.174829399,0.064662829,0.116576591,0.499695587
Andorra,01/06/2021,6,2021,0.178935697,0.178935697,0.023487457,0.116576591,0.534919623
