"month","year","country","value","date","log_value"
"01","2021","Afghanistan",1.38489283797533,Jan 2021,0.325622763342821
"02","2021","Afghanistan",1.42487265438382,Feb 2021,0.354082444382607
"03","2021","Afghanistan",1.43942562599581,Mar 2021,0.364244163181532
"04","2021","Afghanistan",1.48414578811189,Apr 2021,0.394839379887539
"05","2021","Afghanistan",1.65063421564518,May 2021,0.501159587178359
"06","2021","Afghanistan",2.43928281796888,Jun 2021,0.891704069038149
"07","2021","Afghanistan",3.51460334308505,Jul 2021,1.25692667197745
"08","2021","Afghanistan",3.89136757384466,Aug 2021,1.35876065724678
"09","2021","Afghanistan",3.96284461921115,Sep 2021,1.37696210556964
"10","2021","Afghanistan",4.00010251756451,Oct 2021,1.38631999018259
"11","2021","Afghanistan",4.02552902695408,Nov 2021,1.39265633750176
"12","2021","Afghanistan",4.05144333640972,Dec 2021,1.39907319699083
"01","2021","Albania",23.4068026875368,Jan 2021,3.15302669325738
"02","2021","Albania",32.4004323739364,Feb 2021,3.47817176758382
"03","2021","Albania",40.9384745067357,Mar 2021,3.71207031785683
"04","2021","Albania",44.775638798156,Apr 2021,3.80166421469383
"05","2021","Albania",45.8364924819362,May 2021,3.82508055294178
"06","2021","Albania",46.0252739361086,Jun 2021,3.8291906789995
"07","2021","Albania",46.1145498689635,Jul 2021,3.83112851558536
"08","2021","Albania",47.7837348870889,Aug 2021,3.86668530726228
"09","2021","Albania",55.4231704774481,Sep 2021,4.01499774598054
"10","2021","Albania",61.780963953199,Oct 2021,4.12359529036643
"11","2021","Albania",67.1982417124192,Nov 2021,4.20764708219303
"12","2021","Albania",71.1993592775843,Dec 2021,4.26548381946711
"01","2021","Algeria",2.36303497700378,Jan 2021,0.859946800043501
"02","2021","Algeria",2.52210485783493,Feb 2021,0.925093813932555
"03","2021","Algeria",2.63200272148895,Mar 2021,0.967745047462898
"04","2021","Algeria",2.72235105863578,Apr 2021,1.00149586675667
"05","2021","Algeria",2.86189021701814,May 2021,1.05148232156491
"06","2021","Algeria",3.06384882719133,Jun 2021,1.11967191227714
"07","2021","Algeria",3.48283987886725,Jul 2021,1.24784801813855
