"country","date","month","year","value","min","based_value"
"Afghanistan",Jan 2021,"01","2021",1.38489283797533,1.38489283797533,1
"Afghanistan",Feb 2021,"02","2021",1.42487265438382,1.38489283797533,1.02886852708903
"Afghanistan",Mar 2021,"03","2021",1.43942562599581,1.38489283797533,1.0393769008873
"Afghanistan",Apr 2021,"04","2021",1.48414578811189,1.38489283797533,1.07166832509703
"Afghanistan",May 2021,"05","2021",1.65063421564518,1.38489283797533,1.19188587765272
"Afghanistan",Jun 2021,"06","2021",2.43928281796888,1.38489283797533,1.76135131259328
"Afghanistan",Jul 2021,"07","2021",3.51460334308505,1.38489283797533,2.53781610151389
"Afghanistan",Aug 2021,"08","2021",3.89136757384466,1.38489283797533,2.80986908671846
"Afghanistan",Sep 2021,"09","2021",3.96284461921115,1.38489283797533,2.86148105510078
"Afghanistan",Oct 2021,"10","2021",4.00010251756451,1.38489283797533,2.88838414632322
"Afghanistan",Nov 2021,"11","2021",4.02552902695408,1.38489283797533,2.90674405742417
"Afghanistan",Dec 2021,"12","2021",4.05144333640972,1.38489283797533,2.92545619799205
"Albania",Jan 2021,"01","2021",23.4068026875368,23.4068026875368,1
"Albania",Feb 2021,"02","2021",32.4004323739364,23.4068026875368,1.38423144785974
"Albania",Mar 2021,"03","2021",40.9384745067357,23.4068026875368,1.74899900055695
"Albania",Apr 2021,"04","2021",44.775638798156,23.4068026875368,1.91293272284459
"Albania",May 2021,"05","2021",45.8364924819362,23.4068026875368,1.95825517452421
"Albania",Jun 2021,"06","2021",46.0252739361086,23.4068026875368,1.96632041336492
"Albania",Jul 2021,"07","2021",46.1145498689635,23.4068026875368,1.97013451536111
"Albania",Aug 2021,"08","2021",47.7837348870889,23.4068026875368,2.04144647711888
"Albania",Sep 2021,"09","2021",55.4231704774481,23.4068026875368,2.36782320154126
"Albania",Oct 2021,"10","2021",61.780963953199,23.4068026875368,2.63944481345565
"Albania",Nov 2021,"11","2021",67.1982417124192,23.4068026875368,2.87088512726257
