"country","date","month","year","value","min","max","normalised_value"
"Afghanistan",Jan 2021,"01","2021",1.38489283797533,1.38489283797533,4.05144333640972,0
"Afghanistan",Feb 2021,"02","2021",1.42487265438382,1.38489283797533,4.05144333640972,0.0149930842982227
"Afghanistan",Mar 2021,"03","2021",1.43942562599581,1.38489283797533,4.05144333640972,0.0204506864027128
"Afghanistan",Apr 2021,"04","2021",1.48414578811189,1.38489283797533,4.05144333640972,0.037221477783689
"Afghanistan",May 2021,"05","2021",1.65063421564518,1.38489283797533,4.05144333640972,0.0996573580083631
"Afghanistan",Jun 2021,"06","2021",2.43928281796888,1.38489283797533,4.05144333640972,0.395413467928925
"Afghanistan",Jul 2021,"07","2021",3.51460334308505,1.38489283797533,4.05144333640972,0.798676232218416
"Afghanistan",Aug 2021,"08","2021",3.89136757384466,1.38489283797533,4.05144333640972,0.939968973901283
"Afghanistan",Sep 2021,"09","2021",3.96284461921115,1.38489283797533,4.05144333640972,0.966774033624866
"Afghanistan",Oct 2021,"10","2021",4.00010251756451,1.38489283797533,4.05144333640972,0.980746354184794
"Afghanistan",Nov 2021,"11","2021",4.02552902695408,1.38489283797533,4.05144333640972,0.990281710595446
"Afghanistan",Dec 2021,"12","2021",4.05144333640972,1.38489283797533,4.05144333640972,1
"Albania",Jan 2021,"01","2021",23.4068026875368,23.4068026875368,71.1993592775843,0
"Albania",Feb 2021,"02","2021",32.4004323739364,23.4068026875368,71.1993592775843,0.188180552121216
"Albania",Mar 2021,"03","2021",40.9384745067357,23.4068026875368,71.1993592775843,0.366828499458212
"Albania",Apr 2021,"04","2021",44.775638798156,23.4068026875368,71.1993592775843,0.447116405466978
"Albania",May 2021,"05","2021",45.8364924819362,23.4068026875368,71.1993592775843,0.469313453699404
"Albania",Jun 2021,"06","2021",46.0252739361086,23.4068026875368,71.1993592775843,0.473263471602645
"Albania",Jul 2021,"07","2021",46.1145498689635,23.4068026875368,71.1993592775843,0.475131459825596
"Albania",Aug 2021,"08","2021",47.7837348870889,23.4068026875368,71.1993592775843,0.510057087103568
"Albania",Sep 2021,"09","2021",55.4231704774481,23.4068026875368,71.1993592775843,0.669902806508962
"Albania",Oct 2021,"10","2021",61.780963953199,23.4068026875368,71.1993592775843,0.802931753470024
"Albania",Nov 2021,"11","2021",67.1982417124192,23.4068026875368,71.1993592775843,0.916281574984872
"Albania",Dec 2021,"12","2021",71.1993592775843,23.4068026875368,71.1993592775843,1
"Algeria",Jan 2021,"01","2021",2.36303497700378,2.36303497700378,4.88191794088882,0
"Algeria",Feb 2021,"02","2021",2.52210485783493,2.36303497700378,4.88191794088882,0.0631509614030695
"Algeria",Mar 2021,"03","2021",2.63200272148895,2.36303497700378,4.88191794088882,0.106780564377761
"Algeria",Apr 2021,"04","2021",2.72235105863578,2.36303497700378,4.88191794088882,0.142648978449482
"Algeria",May 2021,"05","2021",2.86189021701814,2.36303497700378,4.88191794088882,0.198046216186617
"Algeria",Jun 2021,"06","2021",3.06384882719133,2.36303497700378,4.88191794088882,0.278224062108324
"Algeria",Jul 2021,"07","2021",3.48283987886725,2.36303497700378,4.88191794088882,0.444564085715329
"Algeria",Aug 2021,"08","2021",4.25847744190155,2.36303497700378,4.88191794088882,0.752493264702661
"Algeria",Sep 2021,"09","2021",4.57323823897796,2.36303497700378,4.88191794088882,0.877453733922292
"Algeria",Oct 2021,"10","2021",4.67729265391299,2.36303497700378,4.88191794088882,0.918763479721097
"Algeria",Nov 2021,"11","2021",4.75055823263618,2.36303497700378,4.88191794088882,0.947850015210699
"Algeria",Dec 2021,"12","2021",4.88191794088882,2.36303497700378,4.88191794088882,1
"Andorra",Jan 2021,"01","2021",116.576591245462,116.576591245462,262.894562701052,0
"Andorra",Feb 2021,"02","2021",135.624150650359,116.576591245462,262.894562701052,0.13017922006032
"Andorra",Mar 2021,"03","2021",147.11622964953,116.576591245462,262.894562701052,0.208721034745465
"Andorra",Apr 2021,"04","2021",164.211048555836,116.576591245462,262.894562701052,0.32555438567457
"Andorra",May 2021,"05","2021",174.829399448484,116.576591245462,262.894562701052,0.398124766380474
"Andorra",Jun 2021,"06","2021",178.935697491318,116.576591245462,262.894562701052,0.426188974775274
"Andorra",Jul 2021,"07","2021",184.642714745858,116.576591245462,262.894562701052,0.465193187297946
"Andorra",Aug 2021,"08","2021",193.132975536643,116.576591245462,262.894562701052,0.523219284204039
"Andorra",Sep 2021,"09","2021",195.642270109364,116.576591245462,262.894562701052,0.540368883448467
"Andorra",Oct 2021,"10","2021",198.72704538006,116.576591245462,262.894562701052,0.561451565500495
"Andorra",Nov 2021,"11","2021",207.571345369831,116.576591245462,262.894562701052,0.621897318689848
"Andorra",Dec 2021,"12","2021",262.894562701052,116.576591245462,262.894562701052,1
"Angola",Jan 2021,"01","2021",0.569550519091489,0.569550519091489,2.07384606749879,0
"Angola",Feb 2021,"02","2021",0.618858564305854,0.569550519091489,2.07384606749879,0.0327781633513245
"Angola",Mar 2021,"03","2021",0.653964943533418,0.569550519091489,2.07384606749879,0.0561155848206188
"Angola",Apr 2021,"04","2021",0.736389256810864,0.569550519091489,2.07384606749879,0.110908217401838
"Angola",May 2021,"05","2021",0.930660048796692,0.569550519091489,2.07384606749879,0.240052249099277
"Angola",Jun 2021,"06","2021",1.12551060964188,0.569550519091489,2.07384606749879,0.369581689674626
"Angola",Jul 2021,"07","2021",1.23763328093029,0.569550519091489,2.07384606749879,0.444116691394949
"Angola",Aug 2021,"08","2021",1.36879138562763,0.569550519091489,2.07384606749879,0.531305744660583
"Angola",Sep 2021,"09","2021",1.57452214126248,0.569550519091489,2.07384606749879,0.668067936008338
"Angola",Oct 2021,"10","2021",1.89365838162604,0.569550519091489,2.07384606749879,0.880217895968964
"Angola",Nov 2021,"11","2021",1.97436370526361,0.569550519091489,2.07384606749879,0.933867807864943
"Angola",Dec 2021,"12","2021",2.07384606749879,0.569550519091489,2.07384606749879,1
"Antigua and Barbuda",Jan 2021,"01","2021",1.89704878633677,1.89704878633677,42.7987250672647,0
"Antigua and Barbuda",Feb 2021,"02","2021",4.72541050567764,1.89704878633677,42.7987250672647,0.0691502641582372
"Antigua and Barbuda",Mar 2021,"03","2021",9.9101775893283,1.89704878633677,42.7987250672647,0.195911990206817
"Antigua and Barbuda",Apr 2021,"04","2021",12.2787490128802,1.89704878633677,42.7987250672647,0.253820898567532
"Antigua and Barbuda",May 2021,"05","2021",12.7186926010156,1.89704878633677,42.7987250672647,0.264577024676245
"Antigua and Barbuda",Jun 2021,"06","2021",12.8955286877434,1.89704878633677,42.7987250672647,0.268900468182892
"Antigua and Barbuda",Jul 2021,"07","2021",13.0049463595374,1.89704878633677,42.7987250672647,0.271575607241801
"Antigua and Barbuda",Aug 2021,"08","2021",14.7491507914966,1.89704878633677,42.7987250672647,0.314219444623413
"Antigua and Barbuda",Sep 2021,"09","2021",24.4764861258612,1.89704878633677,42.7987250672647,0.552041857268647
"Antigua and Barbuda",Oct 2021,"10","2021",39.0546971968872,1.89704878633677,42.7987250672647,0.908462727917016
"Antigua and Barbuda",Nov 2021,"11","2021",42.0094355036353,1.89704878633677,42.7987250672647,0.980702757554281
"Antigua and Barbuda",Dec 2021,"12","2021",42.7987250672647,1.89704878633677,42.7987250672647,1
"Argentina",Jan 2021,"01","2021",39.4787541265622,39.4787541265622,119.617412556616,0
"Argentina",Feb 2021,"02","2021",44.8318181838727,39.4787541265622,119.617412556616,0.0667975252166565
"Argentina",Mar 2021,"03","2021",49.0438063601356,39.4787541265622,119.617412556616,0.119356280987932
"Argentina",Apr 2021,"04","2021",58.5723986262404,39.4787541265622,119.617412556616,0.238257600934803
"Argentina",May 2021,"05","2021",74.1041715668087,39.4787541265622,119.617412556616,0.432068843159736
"Argentina",Jun 2021,"06","2021",92.2356359385819,39.4787541265622,119.617412556616,0.658320002425132
"Argentina",Jul 2021,"07","2021",104.481782060759,39.4787541265622,119.617412556616,0.811131970607321
"Argentina",Aug 2021,"08","2021",112.45269805885,39.4787541265622,119.617412556616,0.910596026460575
"Argentina",Sep 2021,"09","2021",115.718169125993,39.4787541265622,119.617412556616,0.951343789539152
"Argentina",Oct 2021,"10","2021",116.66305003559,39.4787541265622,119.617412556616,0.963134365125366
"Argentina",Nov 2021,"11","2021",117.462827703276,39.4787541265622,119.617412556616,0.973114288465152
"Argentina",Dec 2021,"12","2021",119.617412556616,39.4787541265622,119.617412556616,1
"Armenia",Jan 2021,"01","2021",55.2586323133833,55.2586323133833,115.679388389237,0
"Armenia",Feb 2021,"02","2021",57.1425389576774,55.2586323133833,115.679388389237,0.0311797926184336
"Armenia",Mar 2021,"03","2021",60.996293347937,55.2586323133833,115.679388389237,0.0949617549861574
"Armenia",Apr 2021,"04","2021",69.475489729577,55.2586323133833,115.679388389237,0.235297575527611
"Armenia",May 2021,"05","2021",74.3737002947978,55.2586323133833,115.679388389237,0.316365918318149
"Armenia",Jun 2021,"06","2021",75.5565372157582,55.2586323133833,115.679388389237,0.335942583652747
"Armenia",Jul 2021,"07","2021",76.704958817118,55.2586323133833,115.679388389237,0.3549496546652
"Armenia",Aug 2021,"08","2021",79.4506294310921,55.2586323133833,115.679388389237,0.400392161384698
"Armenia",Sep 2021,"09","2021",84.8319887438297,55.2586323133833,115.679388389237,0.48945690771097
"Armenia",Oct 2021,"10","2021",95.2562465154951,55.2586323133833,115.679388389237,0.661984668842899
"Armenia",Nov 2021,"11","2021",110.620760965891,55.2586323133833,115.679388389237,0.91627666133479
"Armenia",Dec 2021,"12","2021",115.679388389237,55.2586323133833,115.679388389237,1
"Australia",Jan 2021,"01","2021",3.87676547021971,3.87676547021971,35.705727238066,0
"Australia",Feb 2021,"02","2021",3.90675408592667,3.87676547021971,35.705727238066,0.000942180141648894
"Australia",Mar 2021,"03","2021",3.94059387319695,3.87676547021971,35.705727238066,0.0020053561106641
"Australia",Apr 2021,"04","2021",3.99111179164725,3.87676547021971,35.705727238066,0.00359252438900027
"Australia",May 2021,"05","2021",4.05218128890951,3.87676547021971,35.705727238066,0.00551120140107765
"Australia",Jun 2021,"06","2021",4.09865024430971,3.87676547021971,35.705727238066,0.00697115965353753
"Australia",Jul 2021,"07","2021",4.32791196597798,3.87676547021971,35.705727238066,0.0141740877081959
"Australia",Aug 2021,"08","2021",5.67286105900556,3.87676547021971,35.705727238066,0.0564296002454051
"Australia",Sep 2021,"09","2021",10.9844998137598,3.87676547021971,35.705727238066,0.223310279341891
