Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290001,3,1,1,1,3,3,2,1,0
290008,5,2,2,2,3,1,6,1,1
290013,7,2,3,2,3,5,2,1,1
290017,4,1,1,2,2,3,2,2,0
290018,7,2,3,2,3,4,1,1,1
290031,4,2,2,1,2,2,5,2,1
290034,4,1,1,1,1,5,3,1,1
290035,2,1,4,2,1,2,2,2,1
290041,7,1,4,2,1,5,2,1,1
290045,6,2,1,2,2,4,2,1,0
290054,4,2,1,1,2,2,5,1,1
290055,3,2,1,2,2,3,5,2,1
290058,3,2,1,1,3,1,1,2,0
290059,7,1,1,2,3,2,2,1,1
290060,4,1,3,1,2,5,1,1,1
290066,7,2,3,2,1,4,6,1,1
290067,7,1,1,2,1,4,2,1,1
290068,7,2,2,2,3,4,1,1,0
290071,2,1,1,1,1,4,1,1,1
290074,7,2,3,2,2,4,2,1,1
290079,7,2,3,2,2,5,1,1,1
290081,7,2,1,2,4,4,2,1,1
290082,3,2,2,1,3,2,5,1,1
290085,4,2,1,2,2,4,1,1,1
290088,7,2,1,2,4,3,1,2,1
290089,2,2,4,1,3,3,6,1,1
290093,5,2,1,1,3,3,5,2,1
290094,2,2,4,1,3,1,5,2,1
290100,2,2,1,1,3,2,2,2,1
290101,4,2,2,2,1,2,3,1,1
290104,2,2,1,1,2,3,2,2,1
290105,7,2,1,2,4,3,1,1,1
290107,5,2,1,1,3,5,1,1,1
290108,4,2,1,1,1,4,5,2,1
290112,7,1,3,2,4,3,1,2,1
290113,2,2,4,1,3,2,5,2,1
290114,7,1,1,2,2,4,2,1,1
290136,6,2,3,2,2,3,5,1,1
290138,5,1,1,2,2,4,1,1,1
290139,7,1,1,2,1,5,1,1,1
290141,4,1,2,2,1,5,1,1,1
290146,4,2,1,1,3,1,2,1,0
290148,5,1,1,2,3,5,5,2,1
290149,4,2,1,1,1,3,1,1,1
290152,1,1,4,2,4,4,2,2,0
290153,3,2,1,1,2,4,2,1,1
290154,4,1,4,2,4,4,5,2,1
