Sserial,age,sex,married,children,highest_qual,income,party,voted,cc_threat
290001,35,1,1,1,3,3,2,1,0
290008,55,2,2,2,3,1,6,1,1
290013,65,2,3,2,3,5,2,1,1
290017,45,1,1,2,2,3,2,2,0
290018,65,2,3,2,3,4,1,1,1
290031,45,2,2,1,2,2,5,2,1
290034,45,1,1,1,1,5,3,1,1
290035,25,1,4,2,1,2,2,2,1
290041,65,1,4,2,1,5,2,1,1
290045,60,2,1,2,2,4,2,1,0
290054,45,2,1,1,2,2,5,1,1
290055,35,2,1,2,2,3,5,2,1
290058,35,2,1,1,3,1,1,2,0
290059,65,1,1,2,3,2,2,1,1
290060,45,1,3,1,2,5,1,1,1
290066,65,2,3,2,1,4,6,1,1
290067,65,1,1,2,1,4,2,1,1
290068,65,2,2,2,3,4,1,1,0
290071,25,1,1,1,1,4,1,1,1
290074,65,2,3,2,2,4,2,1,1
290079,65,2,3,2,2,5,1,1,1
290081,65,2,1,2,4,4,2,1,1
290082,35,2,2,1,3,2,5,1,1
290085,45,2,1,2,2,4,1,1,1
290088,65,2,1,2,4,3,1,2,1
290089,25,2,4,1,3,3,6,1,1
290093,55,2,1,1,3,3,5,2,1
290094,25,2,4,1,3,1,5,2,1
290100,25,2,1,1,3,2,2,2,1
290101,45,2,2,2,1,2,3,1,1
290104,25,2,1,1,2,3,2,2,1
290105,65,2,1,2,4,3,1,1,1
290107,55,2,1,1,3,5,1,1,1
290108,45,2,1,1,1,4,5,2,1
290112,65,1,3,2,4,3,1,2,1
290113,25,2,4,1,3,2,5,2,1
290114,65,1,1,2,2,4,2,1,1
290136,60,2,3,2,2,3,5,1,1
290138,55,1,1,2,2,4,1,1,1
290139,65,1,1,2,1,5,1,1,1
290141,45,1,2,2,1,5,1,1,1
290146,45,2,1,1,3,1,2,1,0
290148,55,1,1,2,3,5,5,2,1
290149,45,2,1,1,1,3,1,1,1
290152,18,1,4,2,4,4,2,2,0
290153,35,2,1,1,2,4,2,1,1
290154,45,1,4,2,4,4,5,2,1
290155,35,1,1,1,1,4,2,1,1
290159,65,2,2,2,4,3,1,1,1
290161,65,1,1,2,2,5,1,1,1
290164,35,2,4,1,4,1,5,2,1
290167,18,2,4,2,3,2,2,1,1
290169,65,2,3,2,2,3,3,1,1
290173,65,2,3,2,3,3,2,1,1
290179,25,2,1,1,2,3,2,1,1
290190,35,2,2,1,4,2,1,2,1
290194,35,2,4,1,3,1,5,2,1
290199,35,1,1,1,3,3,2,1,1
290201,55,1,1,1,4,4,1,2,1
290202,25,2,1,1,1,3,1,1,1
290211,55,2,1,1,1,1,2,1,1
290212,45,2,1,2,1,5,1,1,0
290215,25,2,1,1,2,2,2,1,1
290217,55,1,2,2,2,5,1,1,1
290218,45,2,4,2,4,2,2,2,1
290220,45,1,1,2,1,5,2,1,1
290221,65,1,3,2,3,1,1,1,1
290226,25,2,4,1,4,2,5,2,0
290234,25,2,4,1,1,1,2,1,1
290241,45,1,1,1,1,2,6,1,1
290245,60,1,4,2,4,1,2,2,1
290247,60,2,2,1,4,5,1,1,1
290250,25,1,1,2,2,3,2,1,1
290256,35,2,4,2,3,3,2,1,0
290258,65,2,3,2,4,5,1,1,1
290261,65,1,1,2,3,1,2,1,1
290263,25,1,1,2,1,5,3,1,1
290266,18,2,4,2,1,4,1,1,1
290267,65,1,1,1,3,4,2,1,1
290275,65,1,4,2,2,4,1,2,1
290278,65,2,2,2,1,5,4,1,1
290279,18,2,4,2,2,4,3,1,1
290281,45,2,2,2,2,3,2,1,1
290283,45,2,1,1,2,1,1,1,1
290285,65,1,1,2,3,2,1,1,1
290289,25,1,1,2,1,4,6,1,1
290290,35,1,1,1,1,5,1,1,1
290295,35,2,1,1,1,5,2,2,1
290306,25,2,1,1,2,1,3,1,1
290308,65,1,3,2,4,4,1,1,1
290314,45,1,1,2,3,4,1,1,1
290316,25,2,1,2,1,5,6,1,1
290318,65,1,4,2,4,3,1,1,1
290329,25,1,1,2,2,4,3,1,1
290330,45,1,2,2,1,5,2,1,1
290335,45,2,4,1,1,5,2,1,1
290339,35,2,2,1,1,5,1,2,1
290340,55,2,2,2,3,3,1,1,1
290342,25,1,1,1,3,3,2,1,1
290345,25,2,4,1,3,1,5,2,0
290347,65,1,3,2,2,2,2,1,0
290352,60,1,1,2,3,5,1,1,1
290359,35,2,4,1,3,1,1,1,1
290360,25,1,4,2,3,1,6,2,1
290364,65,2,1,2,3,5,1,1,0
290365,65,2,2,2,1,4,3,1,1
290373,45,1,4,2,2,5,1,1,1
290381,55,2,1,2,3,4,2,1,1
290383,65,2,3,2,2,2,2,2,1
290386,60,2,1,1,3,2,1,1,1
290388,55,2,2,2,3,3,1,1,0
290390,35,2,1,1,1,1,5,1,1
290392,25,2,4,1,3,2,5,2,1
290393,25,2,4,2,1,3,2,1,0
290397,65,1,1,2,1,3,3,1,1
290400,65,2,2,2,2,4,1,1,1
290406,45,2,2,1,3,2,1,1,0
290407,45,1,1,2,2,3,1,1,1
290408,25,2,1,2,3,3,2,1,0
290412,25,2,1,1,1,1,5,2,1
290417,55,2,1,2,2,3,4,1,1
290420,45,1,1,2,1,5,2,1,1
290425,65,1,1,2,1,3,2,1,1
290429,45,1,1,2,3,4,2,1,1
290433,65,2,3,2,3,5,1,1,1
290435,65,1,1,2,2,4,3,1,1
290443,65,1,1,2,1,5,2,1,1
290444,25,1,4,2,2,2,1,1,1
290445,25,2,4,2,3,3,2,2,1
290450,60,1,1,2,1,4,3,1,1
290451,25,2,4,2,1,4,1,1,1
290455,25,2,1,1,1,1,1,1,1
290458,45,2,2,2,4,3,5,2,1
290459,35,1,1,2,1,5,1,1,1
290460,65,2,2,2,4,3,1,1,1
290463,35,2,1,1,3,2,5,2,0
290466,45,2,1,1,1,5,2,1,1
290468,65,1,4,2,4,4,2,1,1
290470,45,1,1,1,1,3,2,1,1
290471,60,1,1,2,1,5,2,1,1
290473,65,2,2,2,2,5,1,1,1
290478,45,1,1,1,3,5,2,1,1
290480,35,1,1,1,2,4,1,1,1
290485,55,2,1,2,2,3,2,1,1
290488,35,1,1,2,1,5,1,1,1
290491,45,1,2,2,3,3,3,2,1
290495,55,1,1,1,2,2,2,1,1
290496,18,2,4,1,3,1,5,2,1
290497,35,2,1,2,2,3,2,1,0
290498,55,2,1,1,3,3,1,1,1
290506,55,1,1,2,2,5,1,1,1
290508,25,2,1,1,1,1,2,2,1
290510,65,1,1,1,2,4,2,1,1
290511,25,1,1,2,1,4,2,1,1
290516,45,1,2,2,1,5,1,2,1
290534,25,2,1,1,1,1,4,1,1
290537,25,1,1,1,1,5,2,1,1
290542,65,1,1,2,3,3,1,1,1
290543,25,1,4,2,2,5,5,1,1
290550,65,1,2,2,3,5,1,1,1
290553,35,1,4,2,4,1,1,1,1
290560,25,2,1,1,4,1,2,2,0
290562,45,1,1,2,3,5,1,1,0
290563,25,2,1,1,4,2,5,2,0
290564,60,1,1,2,1,3,2,1,1
290566,45,2,1,1,3,1,1,1,1
290567,65,1,1,2,3,4,2,1,1
290571,65,1,2,2,4,3,5,2,1
290579,45,1,1,2,2,4,4,1,1
290583,25,2,4,1,3,2,4,2,1
290595,60,1,1,1,3,3,1,1,1
290604,60,2,1,2,3,4,1,1,1
290605,45,1,1,2,2,3,2,1,1
290607,45,1,4,2,3,3,4,1,1
290613,65,1,1,2,3,4,3,1,1
290619,45,2,2,2,4,3,5,2,1
290621,25,2,1,1,2,1,1,1,1
290626,45,2,1,2,1,1,2,1,1
290627,60,1,1,2,2,3,3,1,1
290630,25,1,1,2,2,3,2,1,1
290636,55,1,4,2,3,2,2,1,1
290637,60,1,1,1,1,4,4,1,1
290643,35,1,1,1,3,4,5,2,1
290646,45,2,1,2,3,4,1,2,1
290648,25,1,1,1,1,4,1,1,1
290649,65,2,3,2,4,4,1,1,1
290651,18,1,4,2,2,5,2,2,0
290654,65,1,4,2,4,2,2,1,1
290659,65,2,2,2,2,4,5,1,0
290664,35,2,1,1,3,1,5,2,0
290665,25,1,1,1,3,3,5,2,1
290666,25,1,4,2,1,2,2,2,1
290669,25,1,1,2,3,4,2,2,1
290670,65,1,4,2,4,5,1,1,1
290673,65,2,3,2,2,3,5,1,1
290675,55,1,1,1,1,2,2,2,1
290677,35,2,1,1,1,1,1,1,1
290678,45,1,2,2,2,5,1,1,1
290681,45,1,1,1,1,5,3,1,1
290685,65,2,2,2,1,5,1,1,1
290687,25,2,4,2,1,2,2,1,1
290694,55,1,4,2,3,5,1,1,1
290697,35,1,1,1,1,5,1,1,1
290702,35,2,4,2,1,4,5,2,1
290706,35,1,4,2,1,5,1,1,1
290709,25,2,4,2,2,4,1,1,1
290710,60,1,3,2,1,4,3,1,1
290717,55,2,1,1,3,1,1,1,1
