"month","year","country","value","date","max","min","normalised_value","log_value"
"01","2021","Afghanistan",0.00138489283797533,2021-01-01,4873.253,0,3e-07,-6.5821
"02","2021","Afghanistan",0.00142487265438382,2021-02-01,4873.253,0,3e-07,-6.5537
"03","2021","Afghanistan",0.00143942562599581,2021-03-01,4873.253,0,3e-07,-6.5435
"04","2021","Afghanistan",0.00148414578811189,2021-04-01,4873.253,0,3e-07,-6.5129
"05","2021","Afghanistan",0.00165063421564518,2021-05-01,4873.253,0,3e-07,-6.4066
"06","2021","Afghanistan",0.00243928281796888,2021-06-01,4873.253,0,5e-07,-6.0161
"07","2021","Afghanistan",0.00351460334308505,2021-07-01,4873.253,0,7e-07,-5.6508
"08","2021","Afghanistan",0.00389136757384466,2021-08-01,4873.253,0,8e-07,-5.549
"09","2021","Afghanistan",0.00396284461921115,2021-09-01,4873.253,0,8e-07,-5.5308
"10","2021","Afghanistan",0.00400010251756451,2021-10-01,4873.253,0,8e-07,-5.5214
"11","2021","Afghanistan",0.00402552902695408,2021-11-01,4873.253,0,8e-07,-5.5151
"12","2021","Afghanistan",0.00405144333640972,2021-12-01,4873.253,0,8e-07,-5.5087
"01","2021","Albania",0.0234068026875369,2021-01-01,4873.253,0,4.8e-06,-3.7547
"02","2021","Albania",0.0324004323739364,2021-02-01,4873.253,0,6.6e-06,-3.4296
"03","2021","Albania",0.0409384745067357,2021-03-01,4873.253,0,8.4e-06,-3.1957
"04","2021","Albania",0.044775638798156,2021-04-01,4873.253,0,9.2e-06,-3.1061
"05","2021","Albania",0.0458364924819362,2021-05-01,4873.253,0,9.4e-06,-3.0827
"06","2021","Albania",0.0460252739361086,2021-06-01,4873.253,0,9.4e-06,-3.0786
"07","2021","Albania",0.0461145498689635,2021-07-01,4873.253,0,9.5e-06,-3.0766
"08","2021","Albania",0.0477837348870889,2021-08-01,4873.253,0,9.8e-06,-3.0411
"09","2021","Albania",0.055423170477448,2021-09-01,4873.253,0,1.14e-05,-2.8928
"10","2021","Albania",0.061780963953199,2021-10-01,4873.253,0,1.27e-05,-2.7842
"11","2021","Albania",0.0671982417124192,2021-11-01,4873.253,0,1.38e-05,-2.7001
"12","2021","Albania",0.0711993592775844,2021-12-01,4873.253,0,1.46e-05,-2.6423
"01","2021","Algeria",0.00236303497700378,2021-01-01,4873.253,0,5e-07,-6.0478
"02","2021","Algeria",0.00252210485783493,2021-02-01,4873.253,0,5e-07,-5.9827
"03","2021","Algeria",0.00263200272148895,2021-03-01,4873.253,0,5e-07,-5.94
"04","2021","Algeria",0.00272235105863579,2021-04-01,4873.253,0,6e-07,-5.9063
"05","2021","Algeria",0.00286189021701814,2021-05-01,4873.253,0,6e-07,-5.8563
"06","2021","Algeria",0.00306384882719133,2021-06-01,4873.253,0,6e-07,-5.7881
"07","2021","Algeria",0.00348283987886725,2021-07-01,4873.253,0,7e-07,-5.6599
"08","2021","Algeria",0.00425847744190155,2021-08-01,4873.253,0,9e-07,-5.4588
"09","2021","Algeria",0.00457323823897796,2021-09-01,4873.253,0,9e-07,-5.3875
"10","2021","Algeria",0.00467729265391299,2021-10-01,4873.253,0,1e-06,-5.365
"11","2021","Algeria",0.00475055823263618,2021-11-01,4873.253,0,1e-06,-5.3495
"12","2021","Algeria",0.00488191794088882,2021-12-01,4873.253,0,1e-06,-5.3222
"01","2021","Andorra",0.116576591245462,2021-01-01,4873.253,0,2.39e-05,-2.1492
"02","2021","Andorra",0.135624150650359,2021-02-01,4873.253,0,2.78e-05,-1.9979
"03","2021","Andorra",0.14711622964953,2021-03-01,4873.253,0,3.02e-05,-1.9165
"04","2021","Andorra",0.164211048555836,2021-04-01,4873.253,0,3.37e-05,-1.8066
"05","2021","Andorra",0.174829399448484,2021-05-01,4873.253,0,3.59e-05,-1.7439
"06","2021","Andorra",0.178935697491318,2021-06-01,4873.253,0,3.67e-05,-1.7207
"07","2021","Andorra",0.184642714745858,2021-07-01,4873.253,0,3.79e-05,-1.6893
"08","2021","Andorra",0.193132975536643,2021-08-01,4873.253,0,3.96e-05,-1.6444
"09","2021","Andorra",0.195642270109364,2021-09-01,4873.253,0,4.01e-05,-1.6315
"10","2021","Andorra",0.19872704538006,2021-10-01,4873.253,0,4.08e-05,-1.6158
"11","2021","Andorra",0.207571345369831,2021-11-01,4873.253,0,4.26e-05,-1.5723
"12","2021","Andorra",0.262894562701052,2021-12-01,4873.253,0,5.39e-05,-1.336
"01","2021","Angola",0.000569550519091489,2021-01-01,4873.253,0,1e-07,-7.4707
"02","2021","Angola",0.000618858564305854,2021-02-01,4873.253,0,1e-07,-7.3876
"03","2021","Angola",0.000653964943533418,2021-03-01,4873.253,0,1e-07,-7.3325
"04","2021","Angola",0.000736389256810864,2021-04-01,4873.253,0,2e-07,-7.2138
"05","2021","Angola",0.000930660048796692,2021-05-01,4873.253,0,2e-07,-6.9796
"06","2021","Angola",0.00112551060964188,2021-06-01,4873.253,0,2e-07,-6.7895
"07","2021","Angola",0.00123763328093029,2021-07-01,4873.253,0,3e-07,-6.6946
"08","2021","Angola",0.00136879138562763,2021-08-01,4873.253,0,3e-07,-6.5938
"09","2021","Angola",0.00157452214126248,2021-09-01,4873.253,0,3e-07,-6.4538
"10","2021","Angola",0.00189365838162604,2021-10-01,4873.253,0,4e-07,-6.2692
"11","2021","Angola",0.00197436370526361,2021-11-01,4873.253,0,4e-07,-6.2275
"12","2021","Angola",0.00207384606749879,2021-12-01,4873.253,0,4e-07,-6.1784
"01","2021","Antigua and Barbuda",0.00189704878633677,2021-01-01,4873.253,0,4e-07,-6.2675
"02","2021","Antigua and Barbuda",0.00472541050567764,2021-02-01,4873.253,0,1e-06,-5.3548
"03","2021","Antigua and Barbuda",0.0099101775893283,2021-03-01,4873.253,0,2e-06,-4.6142
"04","2021","Antigua and Barbuda",0.0122787490128802,2021-04-01,4873.253,0,2.5e-06,-4.3999
"05","2021","Antigua and Barbuda",0.0127186926010156,2021-05-01,4873.253,0,2.6e-06,-4.3647
"06","2021","Antigua and Barbuda",0.0128955286877434,2021-06-01,4873.253,0,2.6e-06,-4.3509
"07","2021","Antigua and Barbuda",0.0130049463595374,2021-07-01,4873.253,0,2.7e-06,-4.3424
"08","2021","Antigua and Barbuda",0.0147491507914966,2021-08-01,4873.253,0,3e-06,-4.2166
"09","2021","Antigua and Barbuda",0.0244764861258612,2021-09-01,4873.253,0,5e-06,-3.71
"10","2021","Antigua and Barbuda",0.0390546971968872,2021-10-01,4873.253,0,8e-06,-3.2428
"11","2021","Antigua and Barbuda",0.0420094355036353,2021-11-01,4873.253,0,8.6e-06,-3.1699
"12","2021","Antigua and Barbuda",0.0427987250672647,2021-12-01,4873.253,0,8.8e-06,-3.1512
"01","2021","Argentina",0.0394787541265622,2021-01-01,4873.253,0,8.1e-06,-3.232
"02","2021","Argentina",0.0448318181838727,2021-02-01,4873.253,0,9.2e-06,-3.1048
"03","2021","Argentina",0.0490438063601356,2021-03-01,4873.253,0,1.01e-05,-3.015
"04","2021","Argentina",0.0585723986262404,2021-04-01,4873.253,0,1.2e-05,-2.8375
"05","2021","Argentina",0.0741041715668087,2021-05-01,4873.253,0,1.52e-05,-2.6023
"06","2021","Argentina",0.0922356359385819,2021-06-01,4873.253,0,1.89e-05,-2.3834
"07","2021","Argentina",0.104481782060759,2021-07-01,4873.253,0,2.14e-05,-2.2587
"08","2021","Argentina",0.11245269805885,2021-08-01,4873.253,0,2.31e-05,-2.1852
"09","2021","Argentina",0.115718169125993,2021-09-01,4873.253,0,2.37e-05,-2.1566
"10","2021","Argentina",0.11666305003559,2021-10-01,4873.253,0,2.39e-05,-2.1485
"11","2021","Argentina",0.117462827703276,2021-11-01,4873.253,0,2.41e-05,-2.1416
"12","2021","Argentina",0.119617412556616,2021-12-01,4873.253,0,2.45e-05,-2.1235
"01","2021","Armenia",0.0552586323133833,2021-01-01,4873.253,0,1.13e-05,-2.8957
"02","2021","Armenia",0.0571425389576774,2021-02-01,4873.253,0,1.17e-05,-2.8622
"03","2021","Armenia",0.060996293347937,2021-03-01,4873.253,0,1.25e-05,-2.7969
"04","2021","Armenia",0.069475489729577,2021-04-01,4873.253,0,1.43e-05,-2.6668
"05","2021","Armenia",0.0743737002947978,2021-05-01,4873.253,0,1.53e-05,-2.5987
"06","2021","Armenia",0.0755565372157582,2021-06-01,4873.253,0,1.55e-05,-2.5829
"07","2021","Armenia",0.076704958817118,2021-07-01,4873.253,0,1.57e-05,-2.5678
"08","2021","Armenia",0.0794506294310921,2021-08-01,4873.253,0,1.63e-05,-2.5326
"09","2021","Armenia",0.0848319887438297,2021-09-01,4873.253,0,1.74e-05,-2.4671
"10","2021","Armenia",0.0952562465154951,2021-10-01,4873.253,0,1.95e-05,-2.3512
"11","2021","Armenia",0.110620760965891,2021-11-01,4873.253,0,2.27e-05,-2.2016
