"month","country","value","date"
"01","Afghanistan",0.001,2021-01-01
"02","Afghanistan",0.001,2021-02-01
"03","Afghanistan",0.001,2021-03-01
"04","Afghanistan",0.001,2021-04-01
"05","Afghanistan",0.002,2021-05-01
"06","Afghanistan",0.002,2021-06-01
"07","Afghanistan",0.004,2021-07-01
"08","Afghanistan",0.004,2021-08-01
"09","Afghanistan",0.004,2021-09-01
"10","Afghanistan",0.004,2021-10-01
"11","Afghanistan",0.004,2021-11-01
"12","Afghanistan",0.004,2021-12-01
"01","Albania",0.023,2021-01-01
"02","Albania",0.032,2021-02-01
"03","Albania",0.041,2021-03-01
"04","Albania",0.045,2021-04-01
"05","Albania",0.046,2021-05-01
"06","Albania",0.046,2021-06-01
"07","Albania",0.046,2021-07-01
"08","Albania",0.048,2021-08-01
"09","Albania",0.055,2021-09-01
"10","Albania",0.062,2021-10-01
"11","Albania",0.067,2021-11-01
"12","Albania",0.071,2021-12-01
"01","Algeria",0.002,2021-01-01
"02","Algeria",0.003,2021-02-01
"03","Algeria",0.003,2021-03-01
"04","Algeria",0.003,2021-04-01
"05","Algeria",0.003,2021-05-01
"06","Algeria",0.003,2021-06-01
"07","Algeria",0.003,2021-07-01
"08","Algeria",0.004,2021-08-01
"09","Algeria",0.005,2021-09-01
"10","Algeria",0.005,2021-10-01
"11","Algeria",0.005,2021-11-01
"12","Algeria",0.005,2021-12-01
"01","Andorra",0.117,2021-01-01
"02","Andorra",0.136,2021-02-01
"03","Andorra",0.147,2021-03-01
"04","Andorra",0.164,2021-04-01
"05","Andorra",0.175,2021-05-01
"06","Andorra",0.179,2021-06-01
"07","Andorra",0.185,2021-07-01
"08","Andorra",0.193,2021-08-01
"09","Andorra",0.196,2021-09-01
"10","Andorra",0.199,2021-10-01
"11","Andorra",0.208,2021-11-01
"12","Andorra",0.263,2021-12-01
"01","Angola",0.001,2021-01-01
"02","Angola",0.001,2021-02-01
"03","Angola",0.001,2021-03-01
"04","Angola",0.001,2021-04-01
"05","Angola",0.001,2021-05-01
"06","Angola",0.001,2021-06-01
"07","Angola",0.001,2021-07-01
"08","Angola",0.001,2021-08-01
"09","Angola",0.002,2021-09-01
"10","Angola",0.002,2021-10-01
"11","Angola",0.002,2021-11-01
"12","Angola",0.002,2021-12-01
"01","Antigua and Barbuda",0.002,2021-01-01
"02","Antigua and Barbuda",0.005,2021-02-01
"03","Antigua and Barbuda",0.01,2021-03-01
"04","Antigua and Barbuda",0.012,2021-04-01
"05","Antigua and Barbuda",0.013,2021-05-01
"06","Antigua and Barbuda",0.013,2021-06-01
"07","Antigua and Barbuda",0.013,2021-07-01
"08","Antigua and Barbuda",0.015,2021-08-01
"09","Antigua and Barbuda",0.024,2021-09-01
"10","Antigua and Barbuda",0.039,2021-10-01
"11","Antigua and Barbuda",0.042,2021-11-01
"12","Antigua and Barbuda",0.043,2021-12-01
"01","Argentina",0.039,2021-01-01
"02","Argentina",0.045,2021-02-01
"03","Argentina",0.049,2021-03-01
"04","Argentina",0.059,2021-04-01
"05","Argentina",0.074,2021-05-01
"06","Argentina",0.092,2021-06-01
"07","Argentina",0.104,2021-07-01
"08","Argentina",0.112,2021-08-01
"09","Argentina",0.116,2021-09-01
"10","Argentina",0.117,2021-10-01
"11","Argentina",0.117,2021-11-01
"12","Argentina",0.12,2021-12-01
"01","Armenia",0.055,2021-01-01
"02","Armenia",0.057,2021-02-01
"03","Armenia",0.061,2021-03-01
"04","Armenia",0.069,2021-04-01
"05","Armenia",0.074,2021-05-01
"06","Armenia",0.076,2021-06-01
"07","Armenia",0.077,2021-07-01
"08","Armenia",0.079,2021-08-01
"09","Armenia",0.085,2021-09-01
"10","Armenia",0.095,2021-10-01
"11","Armenia",0.111,2021-11-01
