"country","date","month","year","covid_rate","death_rate"
"Afghanistan",Apr 2021,"04","2021",1.484,0.065
"Afghanistan",Aug 2021,"08","2021",3.891,0.18
"Afghanistan",Dec 2021,"12","2021",4.051,0.188
"Afghanistan",Feb 2021,"02","2021",1.425,0.062
"Afghanistan",Jan 2021,"01","2021",1.385,0.06
"Afghanistan",Jul 2021,"07","2021",3.515,0.153
"Afghanistan",Jun 2021,"06","2021",2.439,0.098
"Afghanistan",Mar 2021,"03","2021",1.439,0.063
"Afghanistan",May 2021,"05","2021",1.651,0.071
"Afghanistan",Nov 2021,"11","2021",4.026,0.187
"Afghanistan",Oct 2021,"10","2021",4,0.186
"Afghanistan",Sep 2021,"09","2021",3.963,0.184
"Albania",Apr 2021,"04","2021",44.776,0.809
"Albania",Aug 2021,"08","2021",47.784,0.858
"Albania",Dec 2021,"12","2021",71.199,1.096
"Albania",Feb 2021,"02","2021",32.4,0.547
"Albania",Jan 2021,"01","2021",23.407,0.443
"Albania",Jul 2021,"07","2021",46.115,0.853
"Albania",Jun 2021,"06","2021",46.025,0.853
"Albania",Mar 2021,"03","2021",40.938,0.715
"Albania",May 2021,"05","2021",45.836,0.844
"Albania",Nov 2021,"11","2021",67.198,1.045
"Albania",Oct 2021,"10","2021",61.781,0.977
"Albania",Sep 2021,"09","2021",55.423,0.894
"Algeria",Apr 2021,"04","2021",2.722,0.072
"Algeria",Aug 2021,"08","2021",4.258,0.11
"Algeria",Dec 2021,"12","2021",4.882,0.141
"Algeria",Feb 2021,"02","2021",2.522,0.067
"Algeria",Jan 2021,"01","2021",2.363,0.065
"Algeria",Jul 2021,"07","2021",3.483,0.09
"Algeria",Jun 2021,"06","2021",3.064,0.082
"Algeria",Mar 2021,"03","2021",2.632,0.069
"Algeria",May 2021,"05","2021",2.862,0.077
"Algeria",Nov 2021,"11","2021",4.751,0.137
"Algeria",Oct 2021,"10","2021",4.677,0.134
"Algeria",Sep 2021,"09","2021",4.573,0.128
"Andorra",Apr 2021,"04","2021",164.211,1.569
"Andorra",Aug 2021,"08","2021",193.133,1.67
"Andorra",Dec 2021,"12","2021",262.895,1.751
"Andorra",Feb 2021,"02","2021",135.624,1.38
"Andorra",Jan 2021,"01","2021",116.577,1.171
"Andorra",Jul 2021,"07","2021",184.643,1.645
"Andorra",Jun 2021,"06","2021",178.936,1.644
"Andorra",Mar 2021,"03","2021",147.116,1.461
"Andorra",May 2021,"05","2021",174.829,1.643
"Andorra",Nov 2021,"11","2021",207.571,1.686
"Andorra",Oct 2021,"10","2021",198.727,1.683
"Andorra",Sep 2021,"09","2021",195.642,1.683
"Angola",Apr 2021,"04","2021",0.736,0.017
"Angola",Aug 2021,"08","2021",1.369,0.034
"Angola",Dec 2021,"12","2021",2.074,0.053
"Angola",Feb 2021,"02","2021",0.619,0.015
"Angola",Jan 2021,"01","2021",0.57,0.013
"Angola",Jul 2021,"07","2021",1.238,0.029
"Angola",Jun 2021,"06","2021",1.126,0.026
"Angola",Mar 2021,"03","2021",0.654,0.016
"Angola",May 2021,"05","2021",0.931,0.021
"Angola",Nov 2021,"11","2021",1.974,0.053
"Angola",Oct 2021,"10","2021",1.894,0.05
"Angola",Sep 2021,"09","2021",1.575,0.042
"Antigua and Barbuda",Apr 2021,"04","2021",12.279,0.31
"Antigua and Barbuda",Aug 2021,"08","2021",14.749,0.44
"Antigua and Barbuda",Dec 2021,"12","2021",42.799,1.198
"Antigua and Barbuda",Feb 2021,"02","2021",4.725,0.102
"Antigua and Barbuda",Jan 2021,"01","2021",1.897,0.058
"Antigua and Barbuda",Jul 2021,"07","2021",13.005,0.432
"Antigua and Barbuda",Jun 2021,"06","2021",12.896,0.429
"Antigua and Barbuda",Mar 2021,"03","2021",9.91,0.254
"Antigua and Barbuda",May 2021,"05","2021",12.719,0.377
"Antigua and Barbuda",Nov 2021,"11","2021",42.009,1.113
"Antigua and Barbuda",Oct 2021,"10","2021",39.055,0.959
"Antigua and Barbuda",Sep 2021,"09","2021",24.476,0.554
"Argentina",Apr 2021,"04","2021",58.572,1.309
"Argentina",Aug 2021,"08","2021",112.453,2.415
"Argentina",Dec 2021,"12","2021",119.617,2.586
"Argentina",Feb 2021,"02","2021",44.832,1.112
"Argentina",Jan 2021,"01","2021",39.479,1.008
"Argentina",Jul 2021,"07","2021",104.482,2.227
"Argentina",Jun 2021,"06","2021",92.236,1.918
"Argentina",Mar 2021,"03","2021",49.044,1.195
