"country","date","month","year","covid_rate","death_rate"
"Afghanistan",Apr 2021,"04","2021",0.001,0
"Afghanistan",Aug 2021,"08","2021",0.004,0
"Afghanistan",Dec 2021,"12","2021",0.004,0
"Afghanistan",Feb 2021,"02","2021",0.001,0
"Afghanistan",Jan 2021,"01","2021",0.001,0
"Afghanistan",Jul 2021,"07","2021",0.004,0
"Afghanistan",Jun 2021,"06","2021",0.002,0
"Afghanistan",Mar 2021,"03","2021",0.001,0
"Afghanistan",May 2021,"05","2021",0.002,0
"Afghanistan",Nov 2021,"11","2021",0.004,0
"Afghanistan",Oct 2021,"10","2021",0.004,0
"Afghanistan",Sep 2021,"09","2021",0.004,0
"Albania",Apr 2021,"04","2021",0.045,0.001
"Albania",Aug 2021,"08","2021",0.048,0.001
"Albania",Dec 2021,"12","2021",0.071,0.001
"Albania",Feb 2021,"02","2021",0.032,0.001
"Albania",Jan 2021,"01","2021",0.023,0
"Albania",Jul 2021,"07","2021",0.046,0.001
"Albania",Jun 2021,"06","2021",0.046,0.001
"Albania",Mar 2021,"03","2021",0.041,0.001
"Albania",May 2021,"05","2021",0.046,0.001
"Albania",Nov 2021,"11","2021",0.067,0.001
"Albania",Oct 2021,"10","2021",0.062,0.001
"Albania",Sep 2021,"09","2021",0.055,0.001
"Algeria",Apr 2021,"04","2021",0.003,0
"Algeria",Aug 2021,"08","2021",0.004,0
"Algeria",Dec 2021,"12","2021",0.005,0
"Algeria",Feb 2021,"02","2021",0.003,0
"Algeria",Jan 2021,"01","2021",0.002,0
"Algeria",Jul 2021,"07","2021",0.003,0
"Algeria",Jun 2021,"06","2021",0.003,0
"Algeria",Mar 2021,"03","2021",0.003,0
"Algeria",May 2021,"05","2021",0.003,0
"Algeria",Nov 2021,"11","2021",0.005,0
"Algeria",Oct 2021,"10","2021",0.005,0
"Algeria",Sep 2021,"09","2021",0.005,0
"Andorra",Apr 2021,"04","2021",0.164,0.002
"Andorra",Aug 2021,"08","2021",0.193,0.002
"Andorra",Dec 2021,"12","2021",0.263,0.002
"Andorra",Feb 2021,"02","2021",0.136,0.001
"Andorra",Jan 2021,"01","2021",0.117,0.001
"Andorra",Jul 2021,"07","2021",0.185,0.002
"Andorra",Jun 2021,"06","2021",0.179,0.002
"Andorra",Mar 2021,"03","2021",0.147,0.001
"Andorra",May 2021,"05","2021",0.175,0.002
"Andorra",Nov 2021,"11","2021",0.208,0.002
"Andorra",Oct 2021,"10","2021",0.199,0.002
"Andorra",Sep 2021,"09","2021",0.196,0.002
"Angola",Apr 2021,"04","2021",0.001,0
"Angola",Aug 2021,"08","2021",0.001,0
"Angola",Dec 2021,"12","2021",0.002,0
"Angola",Feb 2021,"02","2021",0.001,0
"Angola",Jan 2021,"01","2021",0.001,0
"Angola",Jul 2021,"07","2021",0.001,0
"Angola",Jun 2021,"06","2021",0.001,0
"Angola",Mar 2021,"03","2021",0.001,0
"Angola",May 2021,"05","2021",0.001,0
"Angola",Nov 2021,"11","2021",0.002,0
"Angola",Oct 2021,"10","2021",0.002,0
"Angola",Sep 2021,"09","2021",0.002,0
"Antigua and Barbuda",Apr 2021,"04","2021",0.012,0
"Antigua and Barbuda",Aug 2021,"08","2021",0.015,0
"Antigua and Barbuda",Dec 2021,"12","2021",0.043,0.001
"Antigua and Barbuda",Feb 2021,"02","2021",0.005,0
"Antigua and Barbuda",Jan 2021,"01","2021",0.002,0
"Antigua and Barbuda",Jul 2021,"07","2021",0.013,0
"Antigua and Barbuda",Jun 2021,"06","2021",0.013,0
"Antigua and Barbuda",Mar 2021,"03","2021",0.01,0
"Antigua and Barbuda",May 2021,"05","2021",0.013,0
"Antigua and Barbuda",Nov 2021,"11","2021",0.042,0.001
"Antigua and Barbuda",Oct 2021,"10","2021",0.039,0.001
"Antigua and Barbuda",Sep 2021,"09","2021",0.024,0.001
"Argentina",Apr 2021,"04","2021",0.059,0.001
"Argentina",Aug 2021,"08","2021",0.112,0.002
"Argentina",Dec 2021,"12","2021",0.12,0.003
"Argentina",Feb 2021,"02","2021",0.045,0.001
"Argentina",Jan 2021,"01","2021",0.039,0.001
"Argentina",Jul 2021,"07","2021",0.104,0.002
"Argentina",Jun 2021,"06","2021",0.092,0.002
"Argentina",Mar 2021,"03","2021",0.049,0.001
"Argentina",May 2021,"05","2021",0.074,0.002
"Argentina",Nov 2021,"11","2021",0.117,0.003
"Argentina",Oct 2021,"10","2021",0.117,0.003
"Argentina",Sep 2021,"09","2021",0.116,0.003
"Armenia",Apr 2021,"04","2021",0.069,0.001
"Armenia",Aug 2021,"08","2021",0.079,0.002
"Armenia",Dec 2021,"12","2021",0.116,0.003
"Armenia",Feb 2021,"02","2021",0.057,0.001
"Armenia",Jan 2021,"01","2021",0.055,0.001
"Armenia",Jul 2021,"07","2021",0.077,0.002
"Armenia",Jun 2021,"06","2021",0.076,0.002
"Armenia",Mar 2021,"03","2021",0.061,0.001
"Armenia",May 2021,"05","2021",0.074,0.001
"Armenia",Nov 2021,"11","2021",0.111,0.002
"Armenia",Oct 2021,"10","2021",0.095,0.002
"Armenia",Sep 2021,"09","2021",0.085,0.002
"Australia",Apr 2021,"04","2021",0.004,0
"Australia",Aug 2021,"08","2021",0.006,0
"Australia",Dec 2021,"12","2021",0.036,0
"Australia",Feb 2021,"02","2021",0.004,0
"Australia",Jan 2021,"01","2021",0.004,0
"Australia",Jul 2021,"07","2021",0.004,0
"Australia",Jun 2021,"06","2021",0.004,0
"Australia",Mar 2021,"03","2021",0.004,0
"Australia",May 2021,"05","2021",0.004,0
"Australia",Nov 2021,"11","2021",0.026,0
"Australia",Oct 2021,"10","2021",0.019,0
"Australia",Sep 2021,"09","2021",0.011,0
"Austria",Apr 2021,"04","2021",0.064,0.001
"Austria",Aug 2021,"08","2021",0.074,0.001
"Austria",Dec 2021,"12","2021",0.136,0.002
"Austria",Feb 2021,"02","2021",0.048,0.001
"Austria",Jan 2021,"01","2021",0.043,0.001
"Austria",Jul 2021,"07","2021",0.072,0.001
"Austria",Jun 2021,"06","2021",0.071,0.001
"Austria",Mar 2021,"03","2021",0.055,0.001
"Austria",May 2021,"05","2021",0.07,0.001
"Austria",Nov 2021,"11","2021",0.108,0.002
"Austria",Oct 2021,"10","2021",0.086,0.002
"Austria",Sep 2021,"09","2021",0.079,0.001
"Azerbaijan",Apr 2021,"04","2021",0.029,0
"Azerbaijan",Aug 2021,"08","2021",0.037,0.001
"Azerbaijan",Dec 2021,"12","2021",0.06,0.001
"Azerbaijan",Feb 2021,"02","2021",0.023,0
"Azerbaijan",Jan 2021,"01","2021",0.022,0
"Azerbaijan",Jul 2021,"07","2021",0.033,0
"Azerbaijan",Jun 2021,"06","2021",0.033,0
"Azerbaijan",Mar 2021,"03","2021",0.024,0
"Azerbaijan",May 2021,"05","2021",0.032,0
"Azerbaijan",Nov 2021,"11","2021",0.055,0.001
"Azerbaijan",Oct 2021,"10","2021",0.05,0.001
"Azerbaijan",Sep 2021,"09","2021",0.046,0.001
"Bahamas",Apr 2021,"04","2021",0.025,0
"Bahamas",Aug 2021,"08","2021",0.042,0.001
"Bahamas",Dec 2021,"12","2021",0.059,0.002
"Bahamas",Feb 2021,"02","2021",0.021,0
"Bahamas",Jan 2021,"01","2021",0.02,0
"Bahamas",Jul 2021,"07","2021",0.034,0.001
"Bahamas",Jun 2021,"06","2021",0.031,0.001
"Bahamas",Mar 2021,"03","2021",0.022,0
